Customer_ID,Customer_Name,Gender,Age,City,Product,Category,Quantity,Unit_Price,Discount_%,Total_Sales,Profit,Order_Date,Payment_Method,Salesperson
C0001,Maryam,Female,48,Peshawar,Headphones,Accessories,2,5385,10,9693,1214.69,2025-12-10,EasyPaisa,Zoya
C0002,Ali Khan,Male,54,Islamabad,Headphones,Accessories,5,5313,10,23908.5,5090.52,2026-06-24,Bank Transfer,Aamir
C0003,Hina,Male,29,Lahore,Mouse,Accessories,3,1577,10,4257.9,400.98,2025-07-02,JazzCash,Nida
C0004,Sara Ahmed,Male,65,Rawalpindi,Monitor,Electronics,1,27762,0,27762,3249.26,2025-10-15,JazzCash,Saad
C0005,Hassan Ali,Female,19,Rawalpindi,Headphones,Accessories,4,5419,0,21676,3362.56,2025-08-16,Card,Zoya
C0006,Hina,Male,34,Peshawar,Mouse,Accessories,2,1476,5,2804.4,657.31,2025-08-12,EasyPaisa,Nida
C0007,Zain,Female,32,Lahore,Keyboard,Accessories,4,3170,10,11412,1909.78,2026-02-19,JazzCash,Usman
C0008,Hina,Male,51,Lahore,Keyboard,Accessories,4,3631,10,13071.6,1378,2025-05-15,JazzCash,Usman
C0009,Bilal,Male,41,Quetta,Monitor,Electronics,2,27808,5,52835.2,8272,2026-02-14,EasyPaisa,Zoya
C0010,Fatima Noor,Female,19,Hyderabad,Printer,Office,4,25271,0,101084,23249.25,2025-10-25,Bank Transfer,Zoya
C0011,Maryam,Male,53,Karachi,Monitor,Electronics,5,26804,10,120618,18683.76,2025-09-06,Card,Saad
C0012,Ahmed Raza,Male,39,Islamabad,Keyboard,Accessories,2,3536,15,6011.2,852.78,2025-01-25,JazzCash,Zoya
C0013,Ali Khan,Male,65,Karachi,Headphones,Accessories,4,5120,0,20480,4356.73,2026-02-05,Cash,Nida
C0014,Zain,Male,38,Peshawar,Mouse,Accessories,1,1547,15,1314.95,135.81,2025-04-28,Cash,Saad
C0015,Ayesha Khan,Male,49,Quetta,Mouse,Accessories,3,1450,15,3697.5,500.8,2025-05-29,Card,Zoya
C0016,Fatima Noor,Female,30,Lahore,Printer,Office,3,23432,0,70296,7107.2,2025-04-03,EasyPaisa,Nida
C0017,Usman,Female,37,Karachi,Mouse,Accessories,4,1504,15,5113.6,700.89,2025-11-23,EasyPaisa,Nida
C0018,Usman,Male,22,Islamabad,Keyboard,Accessories,1,3264,15,2774.4,580.96,2025-09-29,Card,Nida
C0019,Bilal,Female,41,Faisalabad,Printer,Office,4,25559,5,97124.2,11051.05,2026-07-04,JazzCash,Zoya
C0020,Fatima Noor,Male,52,Karachi,Monitor,Electronics,4,28708,10,103348.8,15513.32,2025-01-11,JazzCash,Saad
C0021,Bilal,Male,21,Quetta,Laptop,Electronics,3,87822,5,250292.7,20879.24,2025-11-23,Bank Transfer,Nida
C0022,Sara Ahmed,Female,49,Lahore,Printer,Office,4,24184,0,96736,18235.2,2025-08-23,Bank Transfer,Nida
C0023,Bilal,Female,27,Karachi,Monitor,Electronics,3,29861,10,80624.7,10294.22,2025-06-15,Bank Transfer,Zoya
C0024,Zain,Male,44,Rawalpindi,Headphones,Accessories,4,5311,15,18057.4,2225.54,2025-02-27,Card,Saad
C0025,Fatima Noor,Female,45,Hyderabad,Mouse,Accessories,5,1407,5,6683.25,1451.23,2026-02-01,Bank Transfer,Saad
C0026,Usman,Male,36,Hyderabad,Printer,Office,5,25758,0,128790,23587.14,2025-05-25,Cash,Zoya
C0027,Hina,Female,29,Islamabad,Mouse,Accessories,4,1638,0,6552,1491.23,2025-10-11,Bank Transfer,Aamir
C0028,Hina,Male,27,Rawalpindi,Mouse,Accessories,3,1447,5,4123.95,727.85,2025-09-15,Card,Nida
C0029,Fatima Noor,Male,33,Peshawar,Laptop,Electronics,4,80108,0,320432,48033.34,2025-05-25,Card,Saad
C0030,Hina,Female,29,Hyderabad,Printer,Office,5,24162,10,108729,24142.82,2025-05-29,Card,Nida
C0031,Hassan Ali,Female,44,Karachi,Headphones,Accessories,4,5001,0,20004,3478.75,2025-06-20,EasyPaisa,Aamir
C0032,Hina,Male,42,Faisalabad,Keyboard,Accessories,3,3353,0,10059,940.42,2025-06-19,Cash,Saad
C0033,Fatima Noor,Male,38,Karachi,Keyboard,Accessories,3,3812,15,9720.6,1619.93,2025-02-02,EasyPaisa,Saad
C0034,Ahmed Raza,Female,41,Faisalabad,Headphones,Accessories,2,4914,15,8353.8,739.15,2025-10-31,JazzCash,Zoya
C0035,Usman,Female,35,Quetta,Printer,Office,4,24623,15,83718.2,16786.8,2026-06-18,JazzCash,Nida
C0036,Ayesha Khan,Male,46,Faisalabad,Keyboard,Accessories,4,3265,15,11101,2651.39,2026-02-21,Card,Zoya
C0037,Sara Ahmed,Female,43,Hyderabad,Laptop,Electronics,3,86132,10,232556.4,48348.68,2025-08-21,EasyPaisa,Usman
C0038,Sara Ahmed,Female,65,Faisalabad,Mouse,Accessories,1,1561,15,1326.85,150.24,2026-02-09,Card,Usman
C0039,Hassan Ali,Male,20,Islamabad,Monitor,Electronics,4,30740,5,116812,10794.29,2025-08-22,JazzCash,Zoya
